CODIGO;DESCRIPCION;AGENTE PROPIETARIO;PORCENTAJE PROPIEDAD;TIPO UNIDAD;ESTADO;ZONA/FRONTERA
AMRE002;AME VENTA REG. ESP. 2;AGENTE DEL MERCADO ELÉCTRICO;100;GENERACION;BAJA;ZONA ESPANOLA
AMRE003;AME VENTA REG. ESP. 3;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;BAJA;ZONA ESPANOLA
AMRE004;AME VENTA REG. ESP. 4;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;BAJA;ZONA ESPANOLA
AMRE005;AME VENTA REG. ESP. 5;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;BAJA;ZONA ESPANOLA
AMRE006;AME VENTA REG. ESP. 6;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;BAJA;ZONA ESPANOLA
AMRE007;AME VENTA REG. ESP. 7;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;BAJA;ZONA ESPANOLA
AMRE008;AME VENTA REG. ESP. 8;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;BAJA;ZONA ESPANOLA
AMRE009;AME VENTA REG. ESP. 9;AGENTE DEL MERCADO ELÉCTRICO;100;GENERACION;BAJA;ZONA ESPANOLA
AMRE010;AME VENTA REG. ESP. 10;AGENTE DEL MERCADO ELÉCTRICO;100;GENERACION;BAJA;ZONA ESPANOLA
AMRE011;AME VENTA REG. ESP. 11;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;BAJA;ZONA ESPANOLA
AMRE012;AME VENTA REG. ESP. 12;AGENTE DEL MERCADO ELÉCTRICO;100;GENERACION;BAJA;ZONA ESPANOLA
AMRE014;AME VENTA REG. ESP. 14;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;BAJA;ZONA ESPANOLA
AMRE015;AME VENTA REG. ESP. 15;AGENTE DEL MERCADO ELÉCTRICO (ACT. COMERC. RE);100;GENERACION;BAJA;ZONA ESPANOLA
